RecId,FIPSCode,RecordCount2020,RecordCount2021,TIV2020,TIV2021,DifferenceTIV,DifferenceRecordCount,Bucket
1,04013,177,0,38678632,0,-38678632,-177,1
2,04027,2,0,198000,0,-198000,-2,1
3,06085,4,0,1696200,0,-1696200,-4,1
4,49035,12,0,3060000,0,-3060000,-12,1
5,06111,1,0,500000,0,-500000,-1,1
6,13087,1,0,94920,0,-94920,-1,1
7,13123,1,0,40000,0,-40000,-1,1
8,34015,1,0,197135,0,-197135,-1,1
9,37131,3,0,250600,0,-250600,-3,1
10,37157,2,0,185430,0,-185430,-2,1
11,53033,1,0,123000,0,-123000,-1,1
12,53061,1,0,478300,0,-478300,-1,1
13,26125,26,0,3657602,0,-3657602,-26,1
14,37017,6,0,349300,0,-349300,-6,1
15,08041,4,0,376393,0,-376393,-4,1
16,13175,2,0,1586350,0,-1586350,-2,1
17,56013,1,0,1710759,0,-1710759,-1,1
18,13133,1,0,67760,0,-67760,-1,1
19,19123,6,0,423800,0,-423800,-6,1
20,06065,1,0,901000,0,-901000,-1,1
21,13297,2,0,132720,0,-132720,-2,1
22,37025,1,0,896600,0,-896600,-1,1
23,48143,32,0,3890000,0,-3890000,-32,1
24,13195,2,0,81200,0,-81200,-2,1
25,26099,28,0,1927310,0,-1927310,-28,1
26,27053,17,0,6570453,0,-6570453,-17,1
27,32003,1,0,837240,0,-837240,-1,1
28,45073,1,0,43680,0,-43680,-1,1
29,06075,2,0,220000,0,-220000,-2,1
30,13141,1,0,62720,0,-62720,-1,1
31,26021,1,0,3816000,0,-3816000,-1,1
32,37083,2,0,2044980,0,-2044980,-2,1
33,45055,1,0,85120,0,-85120,-1,1
34,47055,1,0,27300,0,-27300,-1,1
35,55079,26,0,5722404,0,-5722404,-26,1
36,06071,2,0,3974941,0,-3974941,-2,1
37,37065,7,0,517265,0,-517265,-7,1
38,42001,1,0,232800,0,-232800,-1,1
39,47069,3,0,274750,0,-274750,-3,1
40,"     ",1,0,302320,0,-302320,-1,1
41,13159,2,0,127890,0,-127890,-2,1
42,13289,1,0,121310,0,-121310,-1,1
43,37023,2,0,127540,0,-127540,-2,1
44,53053,1,0,4650000,0,-4650000,-1,1
45,06001,5,0,7535000,0,-7535000,-5,1
46,13313,1,0,987659,0,-987659,-1,1
47,35025,1,0,2000000,0,-2000000,-1,1
48,37155,8,0,637518,0,-637518,-8,1
49,47025,1,0,52500,0,-52500,-1,1
50,47073,1,0,81480,0,-81480,-1,1
51,06037,13,0,14547212,0,-14547212,-13,1
52,06081,3,0,2851633,0,-2851633,-3,1
53,06087,2,0,175000,0,-175000,-2,1
54,13251,1,0,43680,0,-43680,-1,1
55,31047,5,0,2484660,0,-2484660,-5,1
56,31055,102,0,6311010,0,-6311010,-102,1
57,45021,1,0,62720,0,-62720,-1,1
58,45023,1,0,62720,0,-62720,-1,1
59,05143,11,0,2420000,0,-2420000,-11,1
60,13011,1,0,50960,0,-50960,-1,1
61,20209,1,0,123188,0,-123188,-1,1
62,27139,1,0,210147,0,-210147,-1,1
63,45033,1,0,47320,0,-47320,-1,1
64,27123,5,0,1087511,0,-1087511,-5,1
65,37167,1,0,37240,0,-37240,-1,1
66,45039,1,0,62580,0,-62580,-1,1
67,06047,1,0,782067,0,-782067,-1,1
68,13035,2,0,117095,0,-117095,-2,1
69,04019,1,0,133570,0,-133570,-1,1
70,06077,7,0,7631150,0,-7631150,-7,1
71,42015,2,0,22968,0,-22968,-2,1
72,45075,3,0,280910,0,-280910,-3,1
73,13205,1,0,136080,0,-136080,-1,1
74,13211,2,0,109200,0,-109200,-2,1
75,06097,1,0,25000,0,-25000,-1,1
76,13013,1,0,93100,0,-93100,-1,1
77,53057,1,0,2125000,0,-2125000,-1,1
78,37165,2,0,213220,0,-213220,-2,1
79,04021,46,0,8736803,0,-8736803,-46,1
80,37061,2,0,134540,0,-134540,-2,1
81,37163,2,0,201860,0,-201860,-2,1
82,45031,2,0,150500,0,-150500,-2,1
83,06021,3,0,1500000,0,-1500000,-3,1
84,13275,1,0,126490,0,-126490,-1,1
85,19163,1,0,100000,0,-100000,-1,1
86,27163,1,0,275000,0,-275000,-1,1
87,37031,1,0,48230,0,-48230,-1,1
88,37105,1,0,49140,0,-49140,-1,1
89,37197,2,0,172410,0,-172410,-2,1
90,47167,1,0,74480,0,-74480,-1,1
91,06041,1,0,643550,0,-643550,-1,1
92,26163,208,0,18184280,0,-18184280,-208,1
93,37109,3,0,217935,0,-217935,-3,1
94,37187,1,0,78750,0,-78750,-1,1
95,37035,1,0,72905,0,-72905,-1,1
96,47051,2,0,229600,0,-229600,-2,1
97,04017,1,0,318000,0,-318000,-1,1
98,06019,1,0,755000,0,-755000,-1,1
99,06053,4,0,1397000,0,-1397000,-4,1
100,08031,3,0,548360,0,-548360,-3,1
101,13221,1,0,47040,0,-47040,-1,1
102,45061,2,0,257530,0,-257530,-2,1
103,45059,2,0,110320,0,-110320,-2,1
104,45089,3,0,165200,0,-165200,-3,1
105,32007,2,0,598077,0,-598077,-2,1
106,37111,3,0,276965,0,-276965,-3,1
107,47085,1,0,52920,0,-52920,-1,1
108,37067,2,0,114200,0,-114200,-2,1
109,04025,1,0,864000,0,-864000,-1,1
110,13199,2,0,102480,0,-102480,-2,1
111,37127,1,0,75180,0,-75180,-1,1
112,06073,9,0,7756908,0,-7756908,-9,1
113,19061,1,0,231750,0,-231750,-1,1
114,32510,1,0,2195000,0,-2195000,-1,1
115,37117,2,0,145048,0,-145048,-2,1
116,37147,1,0,49875,0,-49875,-1,1
117,44007,1,0,250000,0,-250000,-1,1
118,27003,2,0,461674,0,-461674,-2,1
119,13147,1,0,47040,0,-47040,-1,1
120,13305,1,0,99960,0,-99960,-1,1
121,37027,3,0,253890,0,-253890,-3,1
122,13293,1,0,62370,0,-62370,-1,1
123,37093,3,0,179130,0,-179130,-3,1
124,37107,2,0,240800,0,-240800,-2,1
125,45063,3,0,322060,0,-322060,-3,1
126,42105,1,1,1400,700,-700,0,1
127,39025,0,1,0,5000,5000,1,1
128,42119,1,1,7500,6187,-1313,0,1
129,42035,1,1,9687,7750,-1937,0,1
130,42127,1,1,4900,12500,7600,0,1
131,37139,0,1,0,15000,15000,1,1
132,47011,0,2,0,17500,17500,2,1
133,42109,2,2,22937,18750,-4187,0,1
134,42057,1,1,23500,21700,-1800,0,1
135,51167,1,1,24000,24000,0,0,1
136,42075,2,2,30937,30843,-94,0,1
137,40081,0,1,0,42900,42900,1,1
138,42037,2,2,54325,49686,-4639,0,1
139,47105,1,1,50000,50000,0,0,1
140,18113,1,1,56050,56050,0,0,1
141,12097,0,1,0,60000,60000,1,1
142,48477,0,1,0,60564,60564,1,1
143,48349,0,1,0,72100,72100,1,1
144,47059,0,1,0,77100,77100,1,1
145,17111,1,1,183340,80700,-102640,0,1
146,48203,0,1,0,83059,83059,1,1
147,48041,0,1,0,83276,83276,1,1
148,01097,0,1,0,84500,84500,1,1
149,48225,0,1,0,87674,87674,1,1
150,28133,1,1,90000,90000,0,0,1
151,37057,3,1,198310,96248,-102062,-2,1
152,48147,0,1,0,103000,103000,1,1
153,42069,3,6,55325,104542,49217,3,1
154,48355,0,1,0,105060,105060,1,1
155,37091,1,1,105400,105400,0,0,1
156,28075,1,1,109920,112930,3010,0,1
157,29213,0,1,0,113200,113200,1,1
158,37159,1,1,36960,113296,76336,0,1
159,48053,2,1,234000,117000,-117000,-1,1
160,48193,0,1,0,119325,119325,1,1
161,48091,0,1,0,120000,120000,1,1
