RecId,State,RecordCount2020,RecordCount2021,TIV2020,TIV2021,DifferenceTIV,DifferenceRecordCount,Bucket
1,WY,1,0,1710759,0,-1710759,-1,1
2,WI,26,0,5722404,0,-5722404,-26,1
3,CA,60,0,52891661,0,-52891661,-60,1
4,RI,1,0,250000,0,-250000,-1,1
5,WA,4,0,7376300,0,-7376300,-4,1
6,NE,107,0,8795670,0,-8795670,-107,1
7,CO,7,0,924753,0,-924753,-7,1
8,UT,12,0,3060000,0,-3060000,-12,1
9,MI,263,0,27585192,0,-27585192,-263,1
10,MN,26,0,8604785,0,-8604785,-26,1
11,AZ,228,0,48929005,0,-48929005,-228,1
12,IA,8,0,755550,0,-755550,-8,1
13,NM,1,0,2000000,0,-2000000,-1,1
14,NV,4,0,3630317,0,-3630317,-4,1
15,KS,1,0,123188,0,-123188,-1,1
16,FL,0,1,0,60000,60000,1,1
17,AR,12,4,2695278,607777,-2087501,-8,1
18,MA,1,5,1207500,3243587,2036087,4,1
19,MS,11,58,1640948,7124563,5483615,47,1
20,LA,4,61,1168877,11641206,10472329,57,1
21,CT,26,41,7030200,14493273,7463073,15,1
22,KY,6,154,1067880,16333982,15266102,148,1
23,IN,36,133,4796164,23694326.92,18898162.92,97,1
24,OH,23,177,2880268,24517563,21637295,154,1
25,AL,9,113,1197981,29733316,28535335,104,1
26,TN,118,239,12304370,40102208,27797838,121,1
27,IL,24,399,10608425,54137457,43529032,375,1
28,NC,114,132,29235089,58043715,28808626,18,1
29,DC,1,8,250000,83645183,83395183,7,1
30,SC,144,219,17983160,130098530,112115370,75,1
31,GA,100,195,14048909,134192185,120143276,95,1
32,MD,46,132,46691804,189330825,142639021,86,1
33,TX,531,1583,61240682,238071808.2,176831126.2,1052,1
34,NJ,311,676,98673205,241717307,143044102,365,1
35,MO,34,257,4158906,337282622,333123716,223,1
36,OK,533,3206,62143996,457928829,395784833,2673,1
37,NY,271,643,294652192,559193883,264541691,372,1
38,PA,5586,6361,1356226988.6,2118775186.2,762548197.6,775,1
39,VA,84008,88697,19912257860.8,25977582620.2,6065324759.4,4689,2
